"Word","FREQcount","CDcount","Dom_PoS_SUBTLEX","Percentage_dom_PoS"
"abseiling",1,1,"Verb","1.00"
"absence",322,285,"Noun","1.00"
"absences",14,12,"Noun","1.00"
"absent",131,111,"Adjective","0.84"
"absentee",18,18,"Noun","1.00"
"absenteeism",5,5,"Noun","1.00"
"absentees",4,4,"Noun","1.00"
"absentia",9,8,"Adverb","1.00"
"absenting",2,2,"Verb","1.00"
"absentminded",3,2,"Adjective","1.00"
"absentmindedness",1,1,"Noun","1.00"
"absinthe",28,15,"Verb","0.56"
"absinthes",3,1,"Noun","1.00"
"absinthium",1,1,"Noun","1.00"
"absit",1,1,"Verb","1.00"
"absolute",577,491,"Adjective","1.00"
"absolutely",5769,3291,"Adverb","1.00"
"absoluteness",1,1,"Noun","1.00"
"absolutes",21,16,"Noun","1.00"
"absolution",48,43,"Noun","1.00"
"absolutions",1,1,"Name","1.00"
"absolve",29,25,"Verb","1.00"
"absolved",15,15,"Verb","1.00"
"absolver",4,1,"Noun","1.00"
"absolves",4,3,"Verb","1.00"
"absolving",5,5,"Verb","1.00"
"absorb",101,92,"Verb","1.00"
"absorbed",78,71,"Verb","0.96"
"absorbent",8,8,"Adjective","0.88"
"absorber",3,3,"Noun","1.00"
"absorbers",8,6,"Noun","1.00"
"absorbing",23,21,"Verb","0.74"
"absorbs",25,25,"Verb","1.00"
"absorbtion",3,1,"Noun","1.00"
"absorption",18,17,"Noun","1.00"
"absorptions",1,1,"Noun","1.00"
"abstain",26,19,"Verb","1.00"
"abstained",4,4,"Verb","1.00"
"abstainers",1,1,"Noun","1.00"
"abstaining",8,8,"Verb","1.00"
"abstains",2,2,"Verb","1.00"
"abstention",6,5,"Noun","1.00"
"abstentions",1,1,"Noun","1.00"
"abstinence",45,28,"Noun","1.00"
"abstinent",3,2,"Noun","0.67"
"abstract",111,82,"Adjective","0.90"
"abstracted",3,3,"Adjective","0.67"
"abstracting",1,1,"Verb","1.00"
"abstraction",15,11,"Noun","1.00"
"abstractionist",1,1,"Noun","1.00"
"abstractions",5,4,"Noun","1.00"
"abstractly",2,2,"Adverb","1.00"
"abstracts",7,7,"Noun","1.00"
"abstruse",3,3,"Adjective","1.00"
"absurd",495,397,"Adjective","1.00"
"absurdist",1,1,"Noun","1.00"
"absurdities",6,6,"Noun","1.00"
"absurdity",32,31,"Noun","1.00"
"absurdly",15,15,"Adverb","1.00"
"abt",11,5,"Noun","0.45"
"abu",131,29,"Name","1.00"
"abulia",1,1,"Noun","1.00"
"abundance",45,41,"Noun","1.00"
"abundant",29,26,"Adjective","1.00"
"abundantly",21,21,"Adverb","1.00"
"abuse",523,409,"Noun","0.77"
"abused",231,184,"Verb","0.88"
"abuser",16,16,"Noun","1.00"
"abusers",11,10,"Noun","1.00"
"abuses",25,23,"Noun","0.56"
"abusing",61,55,"Verb","0.97"
"abusive",83,81,"Adjective","1.00"
"abusiveness",1,1,"Noun","1.00"
"abut",6,5,"Verb","1.00"
"abutment",6,5,"Noun","1.00"
"abutments",1,1,"Noun","1.00"
"abuts",2,2,"Verb","1.00"
"abutting",1,1,"Verb","1.00"
"abuzz",2,2,"Noun","1.00"
"abysmal",21,18,"Adjective","1.00"
"abysmally",1,1,"Adverb","1.00"
"abyss",90,67,"Noun","1.00"
"abyssal",1,1,"Noun","1.00"
"abysses",2,2,"Noun","1.00"
"abyssinia",8,5,"Name","1.00"
"abyssinian",9,7,"Adjective","1.00"
"abyssus",4,4,"Noun","1.00"
"ac",110,88,"Noun","1.00"
"acacia",8,7,"Noun","0.63"
"academe",2,2,"Noun","1.00"
"academes",1,1,"Noun","1.00"
"academia",12,12,"Noun","1.00"
"academic",238,181,"Adjective","0.99"
"academically",11,10,"Adverb","1.00"
"academician",1,1,"Noun","1.00"
"academics",35,31,"Noun","1.00"
"academies",7,7,"Noun","1.00"
"academy",633,345,"Noun","1.00"
"acadia",3,3,"Name","1.00"
"acanthus",1,1,"Adjective","1.00"
"acapulco",82,56,"Name","0.84"
"acc",8,8,"Noun","0.50"
"accademia",1,1,"Noun","1.00"
"accadian",1,1,"Adjective","1.00"
"accede",7,7,"Verb","1.00"
"acceded",1,1,"Verb","1.00"
"accelerant",28,13,"Noun","1.00"
"accelerate",65,53,"Verb","1.00"
"accelerated",49,42,"Adjective","0.65"
"accelerates",5,5,"Verb","1.00"
"accelerating",45,38,"Verb","0.71"
"acceleration",44,37,"Noun","1.00"
"accelerator",69,47,"Noun","1.00"
"accelerators",4,3,"Noun","1.00"
"accent",621,447,"Noun","0.98"
"accented",1,1,"Verb","1.00"
"accents",58,56,"Noun","1.00"
"accentuate",18,12,"Verb","1.00"
"accentuated",2,2,"Verb","1.00"
"accentuates",4,4,"Verb","1.00"
"accentuating",1,1,"Verb","1.00"
"accept",2692,1861,"Verb","1.00"
"acceptable",269,243,"Adjective","1.00"
"acceptance",161,140,"Noun","1.00"
"acceptances",2,2,"Noun","1.00"
"acceptant",1,1,"Noun","1.00"
"accepted",801,658,"Verb","0.91"
"accepting",206,195,"Verb","1.00"
"accepts",106,97,"Verb","0.99"
"access",1615,923,"Noun","0.82"
"accessed",78,62,"Verb","1.00"
"accesses",2,2,"Verb","1.00"
"accessibility",2,2,"Noun","1.00"
"accessible",56,50,"Adjective","1.00"
"accessing",53,47,"Verb","0.91"
"accession",6,3,"Noun","1.00"
"accessories",76,71,"Noun","1.00"
"accessorise",1,1,"Verb","1.00"
"accessorize",18,18,"Verb","1.00"
"accessorized",2,2,"Verb","1.00"
"accessorizing",6,6,"Verb","0.83"
"accessory",147,125,"Noun","0.75"
"accident",4146,2180,"Noun","1.00"
"accidental",153,134,"Adjective","1.00"
"accidentally",449,397,"Adverb","1.00"
"accidentals",1,1,"Noun","1.00"
"accidently",11,10,"Adverb","1.00"
"accidents",340,281,"Noun","1.00"
"acclaim",22,19,"Noun","0.95"
"acclaimed",20,20,"Verb","0.60"
"acclaims",2,2,"Verb","0.50"
"acclamation",1,1,"Noun","1.00"
"acclimate",8,8,"Verb","1.00"
"acclimated",10,8,"Verb","0.60"
"acclimates",1,1,"Verb","1.00"
"acclimating",3,3,"Verb","1.00"
"acclimatization",1,1,"Noun","1.00"
"acclimatize",1,1,"Verb","1.00"
"acclimatized",2,2,"Verb","0.50"
"accolade",1,1,"Noun","1.00"
"accolades",9,9,"Noun","1.00"
"accommodate",109,106,"Verb","1.00"
"accommodated",5,5,"Verb","1.00"
"accommodates",3,3,"Verb","1.00"
"accommodating",36,32,"Verb","0.69"
"accommodation",48,45,"Noun","1.00"
"accommodations",85,81,"Noun","1.00"
"accommodative",1,1,"Adjective","1.00"
"accomodate",6,4,"Verb","1.00"
"accompanied",105,98,"Verb","1.00"
"accompanier",1,1,"#N/A","#N/A"
"accompanies",13,13,"Verb","1.00"
"accompaniment",15,13,"Noun","1.00"
"accompanist",10,8,"Noun","1.00"
"accompanists",1,1,"Noun","1.00"
"accompany",242,213,"Verb","1.00"
"accompanying",47,45,"Verb","0.72"
"accompli",8,8,"Noun","1.00"
"accomplice",216,147,"Noun","1.00"
"accomplices",58,50,"Noun","1.00"
"accomplish",298,263,"Verb","1.00"
"accomplished",384,346,"Verb","0.81"
"accomplishes",7,7,"Verb","1.00"
"accomplishing",26,24,"Verb","0.96"
"accomplishment",96,87,"Noun","1.00"
"accomplishments",81,75,"Noun","0.99"
"accord",83,66,"Noun","0.82"
"accordable",1,1,"Adjective","1.00"
"accordance",81,66,"Preposition","0.88"
"accorded",7,6,"Verb","1.00"
"according",2135,1571,"Preposition","0.99"
"accordingly",93,89,"Adverb","1.00"
"accordion",67,46,"Noun","1.00"
"accordions",3,2,"Noun","1.00"
"accords",9,9,"Noun","0.56"
"accost",3,3,"Verb","1.00"
"accosted",34,30,"Verb","1.00"
"accosting",4,4,"Verb","0.75"
"accosts",1,1,"Verb","1.00"
"account",2280,1386,"Noun","0.70"
"accountability",24,17,"Noun","1.00"
"accountable",72,65,"Adjective","1.00"
"accountancy",3,2,"Noun","1.00"
"accountant",315,191,"Noun","1.00"
"accountants",55,47,"Noun","1.00"
"accounted",154,140,"Verb","1.00"
"accounting",230,179,"Noun","0.78"
"accounts",534,391,"Noun","0.90"
"accoutered",1,1,"Adjective","1.00"
"accoutre",1,1,"Noun","1.00"
"accoutred",2,2,"Verb","1.00"
"accoutrement",6,5,"Noun","1.00"
"accoutrements",6,6,"Noun","1.00"
"accra",4,3,"Name","1.00"
"accreditation",9,6,"Noun","1.00"
"accredited",16,13,"Adjective","0.69"
"accrediting",1,1,"Verb","1.00"
"accrete",1,1,"Verb","1.00"
"accrual",2,2,"Noun","1.00"
"accrue",4,4,"Verb","1.00"
"accrued",13,12,"Verb","0.62"
"accrues",1,1,"Verb","1.00"
"accruing",2,2,"Verb","1.00"
"accumulate",29,27,"Verb","1.00"
"accumulated",39,38,"Verb","0.73"
"accumulates",11,11,"Verb","1.00"
"accumulating",18,18,"Verb","0.94"
"accumulation",13,13,"Noun","1.00"
"accumulations",1,1,"Noun","1.00"
"accumulative",3,2,"Adjective","1.00"
"accumulator",1,1,"Noun","1.00"
"accuracy",76,65,"Noun","1.00"
"accurate",400,344,"Adjective","1.00"
"accurately",58,57,"Adverb","1.00"
"accursed",33,30,"Adjective","1.00"
"accusation",143,128,"Noun","1.00"
"accusations",153,126,"Noun","0.99"
"accusatory",3,3,"Adjective","1.00"
"accuse",290,233,"Verb","1.00"
"accused",666,459,"Verb","0.79"
"accuser",15,12,"Noun","1.00"
"accusers",8,8,"Noun","1.00"
"accuses",31,29,"Verb","1.00"
"accusing",252,220,"Verb","1.00"
"accustom",6,5,"Verb","1.00"
"accustomed",149,133,"Adjective","0.50"
"ace",751,321,"Noun","0.77"
"aced",39,36,"Verb","1.00"
"acentric",1,1,"Adjective","1.00"
"acerbic",4,4,"Adjective","1.00"
"aces",202,136,"Noun","1.00"
"acetabulum",2,1,"Noun","1.00"
"acetaminophen",5,4,"Noun","0.60"
"acetate",6,5,"Noun","1.00"
"acetates",1,1,"Noun","1.00"
"acetic",1,1,"Adjective","1.00"
"acetone",8,7,"Noun","0.75"
"acetyl",2,2,"Noun","1.00"
"acetylcholine",7,6,"Verb","0.57"
"acetylene",23,14,"Noun","1.00"
"acetylsalicylic",4,2,"Adjective","1.00"
"ach",38,23,"Interjection","1.00"
"achar",1,1,"Noun","1.00"
"ache",127,113,"Noun","0.53"
"ached",16,16,"Verb","1.00"
"acher",2,2,"Noun","0.50"
"acheron",25,2,"Name","0.52"
"aches",77,64,"Verb","0.56"
"achievable",2,2,"Adjective","1.00"
"achieve",374,317,"Verb","1.00"
"achieved",219,189,"Verb","1.00"
"achievement",178,159,"Noun","1.00"
"achievements",55,52,"Noun","1.00"
"achiever",12,12,"Verb","0.92"
"achievers",9,5,"Noun","1.00"
"achieves",16,16,"Verb","1.00"
"achieving",37,37,"Verb","0.97"
"achilles",115,40,"Name","0.99"
"achiness",1,1,"Noun","1.00"
"aching",105,97,"Verb","0.55"
"achingly",2,2,"Adverb","1.00"
"achondroplasia",2,2,"Noun","1.00"
"achoo",5,4,"Noun","1.00"
"achy",23,21,"Adjective","0.74"
"acid",508,323,"Noun","0.99"
"acidemia",2,1,"Noun","1.00"
"acidic",11,11,"Adjective","1.00"
"acidity",10,8,"Noun","1.00"
"acidizing",1,1,"Verb","1.00"
"acidophilus",3,3,"Noun","0.67"
"acidosis",8,5,"Noun","0.88"
"acidotic",4,3,"Adjective","1.00"
"acids",42,33,"Noun","1.00"
"acing",4,4,"Verb","1.00"
"ack",29,15,"Name","0.52"
"ackee",1,1,"Noun","1.00"
"acker",8,3,"Name","0.71"
"acknowledge",313,250,"Verb","1.00"
"acknowledged",100,87,"Verb","0.65"
"acknowledgement",21,20,"Noun","1.00"
"acknowledgements",4,2,"Noun","1.00"
"acknowledges",13,12,"Verb","1.00"
"acknowledging",36,34,"Verb","1.00"
"acknowledgment",26,26,"Noun","1.00"
"acknowledgments",1,1,"Noun","1.00"
"aclu",21,20,"Noun","0.95"
"acme",64,19,"Noun","0.58"
"acne",46,37,"Noun","1.00"
"acnes",1,1,"Noun","1.00"
"acolyte",7,7,"Noun","1.00"
"acolytes",6,4,"Noun","1.00"
"acoma",3,1,"Noun","0.67"
"aconitum",4,2,"Noun","1.00"
"acorn",37,16,"Noun","1.00"
"acorns",19,11,"Noun","1.00"
"acoustic",49,31,"Adjective","0.88"
"acoustical",6,4,"Adjective","1.00"
"acoustically",1,1,"Adverb","1.00"
"acoustics",22,22,"Noun","1.00"
"acquaint",20,20,"Verb","1.00"
"acquaintance",273,229,"Noun","1.00"
"acquaintances",54,48,"Noun","1.00"
"acquaintanceship",4,4,"Noun","1.00"
"acquainted",231,204,"Verb","1.00"
"acquainting",2,2,"Verb","1.00"
"acquiesce",3,3,"Verb","1.00"
"acquiesced",5,5,"Verb","1.00"
"acquiescence",5,5,"Noun","1.00"
"acquiescent",1,1,"Adjective","1.00"
"acquiescing",2,2,"Verb","1.00"
"acquire",135,123,"Verb","1.00"
"acquired",228,195,"Verb","0.91"
"acquirer",1,1,"Noun","1.00"
"acquires",8,8,"Verb","1.00"
"acquiring",43,35,"Verb","1.00"
"acquisition",74,64,"Noun","1.00"
"acquisitions",33,25,"Noun","1.00"
"acquisitive",3,3,"Adjective","1.00"
"acquisitiveness",1,1,"Noun","1.00"
"acquit",24,19,"Noun","0.96"
"acquittal",37,33,"Noun","1.00"
"acquittals",1,1,"Noun","1.00"
"acquitted",78,56,"Verb","0.98"
"acquitting",6,3,"Verb","1.00"
"acre",93,55,"Noun","1.00"
"acreage",22,19,"Noun","1.00"
"acres",234,159,"Noun","1.00"
"acrid",2,2,"Adjective","1.00"
"acrimonious",7,5,"Adjective","1.00"
"acrimony",11,6,"Noun","1.00"
"acrobat",30,21,"Noun","0.83"
"acrobatic",12,12,"Adjective","1.00"
"acrobatics",11,10,"Noun","1.00"
"acrobats",19,19,"Noun","0.89"
"acromegalia",10,1,"Noun","1.00"
"acromion",2,2,"Noun","1.00"
"acronym",15,14,"Noun","1.00"
"acronyms",7,7,"Noun","1.00"
"acrophobia",10,6,"Noun","1.00"
"acropolis",6,5,"Noun","0.83"
"across",4801,2892,"Preposition","0.86"
"acrylic",23,15,"Adjective","0.83"
"acrylics",3,3,"Noun","1.00"
"act",5565,3086,"Verb","0.51"
"acta",1,1,"Name","1.00"
"acted",548,476,"Verb","1.00"
"actg",1,1,"Noun","1.00"
"actin",54,48,"Noun","0.90"
"acting",2675,1813,"Verb","0.87"
"actings",1,1,"Noun","1.00"
"actinic",1,1,"Adjective","1.00"
"action",3115,1857,"Noun","1.00"
"actionable",13,7,"Adjective","1.00"
"actioner",1,1,"Noun","1.00"
"actions",620,487,"Noun","0.99"
"activate",238,160,"Verb","1.00"
"activated",220,162,"Verb","0.95"
"activates",16,15,"Verb","1.00"
"activating",44,38,"Verb","0.93"
"activation",43,33,"Noun","1.00"
"activator",4,4,"Noun","1.00"
"active",584,464,"Adjective","1.00"
"actively",42,39,"Adverb","1.00"
"actives",1,1,"Noun","1.00"
"activism",9,9,"Noun","1.00"
"activist",50,40,"Noun","1.00"
"activists",18,14,"Noun","1.00"
"activities",439,353,"Noun","1.00"
"activity",657,519,"Noun","1.00"
"acton",12,4,"Name","1.00"
"actor",1343,574,"Noun","1.00"
"actors",644,327,"Noun","1.00"
"actory",1,1,"Adjective","1.00"
"actress",817,379,"Noun","1.00"
"actresses",115,91,"Noun","1.00"
"acts",636,527,"Noun","0.56"
"actu",1,1,"Noun","1.00"
"actual",884,706,"Adjective","1.00"
"actualisation",2,1,"Noun","1.00"
"actualised",1,1,"Verb","1.00"
"actualities",1,1,"Noun","1.00"
"actuality",24,22,"Noun","1.00"
"actualization",3,3,"Noun","1.00"
"actualize",2,2,"Verb","1.00"
"actually",16439,5486,"Adverb","1.00"
"actuals",2,2,"Noun","1.00"
"actuarial",9,8,"Adjective","1.00"
"actuarially",1,1,"Adverb","1.00"
"actuaries",1,1,"Noun","1.00"
"actuary",7,6,"Noun","1.00"
"actuate",1,1,"Verb","1.00"
"actuated",3,3,"Verb","1.00"
"actuating",1,1,"Adjective","1.00"
"actuation",1,1,"Noun","1.00"
"actuator",2,2,"Noun","1.00"
"actuators",2,1,"Noun","1.00"
"acuity",14,14,"Noun","1.00"
"acumen",7,5,"Noun","1.00"
"acupressure",6,6,"Noun","0.67"
"acupuncture",37,28,"Noun","1.00"
"acupuncturist",9,7,"Noun","1.00"
"acupuncturists",2,1,"Noun","1.00"
"acute",150,131,"Adjective","1.00"
"acutely",14,14,"Adverb","1.00"
"acuteness",1,1,"Noun","1.00"
"acyclovir",1,1,"Noun","1.00"
"ad",694,432,"Noun","0.89"
"adage",32,26,"Noun","0.91"
"adages",1,1,"Noun","1.00"
"adagio",12,10,"Noun","0.55"
"adam",1890,342,"Name","1.00"
"adamant",50,41,"Adjective","1.00"
"adamantine",1,1,"Adjective","1.00"
"adamantly",2,2,"Adverb","1.00"
"adamas",1,1,"Noun","1.00"
"adams",470,168,"Name","1.00"
"adance",1,1,"Noun","1.00"
"adapt",134,101,"Verb","1.00"
"adaptability",7,7,"Noun","1.00"
"adaptable",17,16,"Adjective","1.00"
"adaptation",81,70,"Noun","1.00"
"adaptations",3,3,"Noun","1.00"
"adapted",56,52,"Verb","0.96"
"adapter",11,7,"Noun","1.00"
"adapting",27,25,"Verb","1.00"
"adaption",1,1,"Noun","1.00"
"adaptive",11,10,"Adjective","1.00"
"adaptor",4,4,"Noun","1.00"
"adaptors",1,1,"Noun","1.00"
"adapts",3,3,"Verb","1.00"
"adar",3,1,"Name","1.00"
"adc",7,5,"Name","1.00"
"add",1686,1329,"Verb","1.00"
"added",492,430,"Verb","0.80"
"addenda",2,2,"Noun","1.00"
"addendum",15,12,"Noun","1.00"
"addendums",4,4,"Noun","1.00"
"adder",73,18,"Noun","0.93"
"adders",2,2,"Noun","0.50"
"addict",273,193,"Noun","1.00"
"addicted",231,143,"Verb","0.99"
"addicting",3,3,"Verb","1.00"
"addiction",199,130,"Noun","1.00"
"addictions",21,14,"Noun","0.95"
"addictive",57,47,"Adjective","1.00"
"addictiveness",2,2,"Noun","1.00"
"addicts",106,79,"Noun","1.00"
"adding",205,186,"Verb","0.90"
"addio",4,2,"Noun","1.00"
"addis",10,5,"Name","1.00"
"addison",91,24,"Name","1.00"
"addition",395,361,"Preposition","0.47"
"additional",300,274,"Adjective","1.00"
"additionally",16,16,"Adverb","1.00"
"additions",11,10,"Noun","1.00"
"additive",11,8,"Adjective","1.00"
"additives",10,8,"Noun","1.00"
"addle",8,1,"Verb","1.00"
"addled",11,11,"Adjective","0.82"
"addlepated",2,2,"Verb","1.00"
"addling",1,1,"Verb","1.00"
"addr",2,1,"Noun","1.00"
"address",2666,1688,"Noun","0.86"
"addressed",194,168,"Verb","0.99"
"addressee",6,6,"Noun","1.00"
"addresser",2,1,"Name","1.00"
"addresses",162,139,"Noun","0.79"
"addressing",107,96,"Verb","1.00"
"adds",201,175,"Verb","1.00"
"adduce",1,1,"Verb","1.00"
"adduced",1,1,"Verb","1.00"
"adductor",1,1,"Noun","1.00"
"ade",15,8,"Name","0.93"
"adelante",1,1,"Noun","1.00"
"aden",6,3,"Name","1.00"
"adenia",1,1,"Name","1.00"
"adenine",2,2,"Name","1.00"
"adenocarcinoma",1,1,"Noun","1.00"
"adenoid",5,1,"Name","0.80"
"adenoidal",1,1,"Adjective","1.00"
"adenoids",11,9,"Noun","1.00"
"adenoma",1,1,"Noun","1.00"
"adenopathy",1,1,"Noun","1.00"
"adenosine",6,4,"Noun","0.83"
"adept",33,31,"Adjective","1.00"
"adeptness",1,1,"Noun","1.00"
"adepts",2,2,"Noun","1.00"
"adequacy",1,1,"Noun","1.00"
"adequate",132,111,"Adjective","1.00"
"adequately",27,26,"Adverb","1.00"
"adeste",3,2,"Name","1.00"
